carbos	Carburante / Carburante
x-sp-atk	At. Especial X / At. Especial X
x-sp-def	Def. Especial X / Def. Especial X
poke-doll	Poké Muñeco / Poké Muñeco
fluffy-tail	Cola Skitty / Cola Skitty
star-piece	Trozo Estrella / Trozo Estrella
nugget	Pepita / Pepita
growth-mulch	Abono Rápido / Abono Rápido
damp-mulch	Abono Lento / Abono Lento
stable-mulch	Abono Fijador / Abono Fijador
gooey-mulch	Abono Brote / Abono Brote
grass-mail	Carta Hierba / Carta Hierba
flame-mail	Carta Fuego / Carta Fuego
bubble-mail	Carta Pompas / Carta Pompas
bloom-mail	Carta Flores / Carta Flores
tunnel-mail	Carta Mina / Carta Mina
steel-mail	Carta Acero / Carta Acero
heart-mail	Car. Corazón / Car. Corazón
snow-mail	Carta Nieve / Carta Nieve
space-mail	Car. Sideral / Car. Sideral
air-mail	Carta Aérea / Carta Aérea
mosaic-mail	Car. Mosaico / Car. Mosaico
brick-mail	Carta Pared / Carta Pared
exp-share	Repartir Exp / Repartir Exp
metal-coat	Revest. Metálico / Revest. Metálico
expert-belt	Cinta Experto / Cinta Experto
power-anklet	Franja Recia / Franja Recia
tm01	MT01 / MT01
tm02	MT02 / MT02
tm03	MT03 / MT03
tm04	MT04 / MT04
tm05	MT05 / MT05
tm06	MT06 / MT06
tm07	MT07 / MT07
tm08	MT08 / MT08
tm09	MT09 / MT09
tm10	MT10 / MT10
tm11	MT11 / MT11
tm12	MT12 / MT12
tm13	MT13 / MT13
tm14	MT14 / MT14
tm15	MT15 / MT15
tm16	MT16 / MT16
tm17	MT17 / MT17
tm18	MT18 / MT18
tm19	MT19 / MT19
tm20	MT20 / MT20
tm21	MT21 / MT21
tm22	MT22 / MT22
tm23	MT23 / MT23
tm24	MT24 / MT24
tm25	MT25 / MT25
tm26	MT26 / MT26
tm27	MT27 / MT27
tm28	MT28 / MT28
tm29	MT29 / MT29
tm30	MT30 / MT30
tm31	MT31 / MT31
tm32	MT32 / MT32
tm33	MT33 / MT33
tm34	MT34 / MT34
tm35	MT35 / MT35
tm36	MT36 / MT36
tm37	MT37 / MT37
tm38	MT38 / MT38
tm39	MT39 / MT39
tm40	MT40 / MT40
tm41	MT41 / MT41
tm42	MT42 / MT42
tm43	MT43 / MT43
tm44	MT44 / MT44
tm45	MT45 / MT45
tm46	MT46 / MT46
tm47	MT47 / MT47
tm48	MT48 / MT48
tm49	MT49 / MT49
tm50	MT50 / MT50
tm51	MT51 / MT51
tm52	MT52 / MT52
tm53	MT53 / MT53
tm54	MT54 / MT54
tm55	MT55 / MT55
tm56	MT56 / MT56
tm57	MT57 / MT57
tm58	MT58 / MT58
tm59	MT59 / MT59
tm60	MT60 / MT60
tm61	MT61 / MT61
tm62	MT62 / MT62
tm63	MT63 / MT63
tm64	MT64 / MT64
tm65	MT65 / MT65
tm66	MT66 / MT66
tm67	MT67 / MT67
tm68	MT68 / MT68
tm69	MT69 / MT69
tm70	MT70 / MT70
tm71	MT71 / MT71
tm72	MT72 / MT72
tm73	MT73 / MT73
tm74	MT74 / MT74
tm75	MT75 / MT75
tm76	MT76 / MT76
tm77	MT77 / MT77
tm78	MT78 / MT78
tm79	MT79 / MT79
tm80	MT80 / MT80
tm81	MT81 / MT81
tm82	MT82 / MT82
tm83	MT83 / MT83
tm84	MT84 / MT84
tm85	MT85 / MT85
tm86	MT86 / MT86
tm87	MT87 / MT87
tm88	MT88 / MT88
tm89	MT89 / MT89
tm90	MT90 / MT90
tm91	MT91 / MT91
tm92	MT92 / MT92
hm01	MO01 / MO01
hm02	MO02 / MO02
hm03	MO03 / MO03
hm04	MO04 / MO04
hm05	MO05 / MO05
hm06	MO06 / MO06
hm07	MO07 / MO07
hm08	MO08 / MO08
explorer-kit	Kit Explorador / Kit Explorador
rule-book	Reglamento / Reglamento
poke-radar	Pokéradar / Pokéradar
point-card	Tarjeta Puntos / Tarjeta Puntos
journal	Diario / Diario
seal-case	Caja Sellos / Caja Sellos
seal-bag	Bolsa Sellos / Bolsa Sellos
pal-pad	Bloc amigos / Bloc amigos
works-key	Llave Central / Llave Central
old-charm	Talismán / Talismán
galactic-key	Llave Galaxia / Llave Galaxia
suite-key	Llave Suite / Llave Suite
oaks-letter	Carta Prof. Oak / Carta Prof. Oak
member-card	Carné Socio / Carné Socio
ss-ticket	Ticket Barco / Ticket Barco
contest-pass	Pase Concurso / Pase Concurso
coupon-1	Cupón 1 / Cupón 1
coupon-2	Cupón 2 / Cupón 2
coupon-3	Cupón 3 / Cupón 3
storage-key	Llave Almacén / Llave Almacén
secret-potion	Poción Secreta / Poción Secreta
squirt-bottle	Regadera / Regadera
enigma-stone	Misticristal / Misticristal
slowpoke-tail	Cola Slowpoke / Cola Slowpoke
basement-key	Llave Sótano / Llave Sótano
pass	Magnetopase / Magnetopase
machine-part	Maquinaria / Maquinaria
silver-wing	Ala Plateada / Ala Plateada
rainbow-wing	Ala Arcoíris / Ala Arcoíris
gb-sounds	Lector GB / Lector GB
data-card-01	Tarjeta Datos 01 / Tarjeta Datos 01
data-card-02	Tarjeta Datos 02 / Tarjeta Datos 02
data-card-03	Tarjeta Datos 03 / Tarjeta Datos 03
